last name,county,votes,state,total votes,percent votes,fips
Sanders,Carroll,220,TN,768,0.286458333,47017
Biden,Cannon,281,TN,463,0.606911447,47015
Sanders,Cannon,182,TN,463,0.393088553,47015
Biden,Campbell,525,TN,780,0.673076923,47013
Sanders,Campbell,255,TN,780,0.326923077,47013
Biden,Bradley,1762,TN,3001,0.587137621,47011
Sanders,Bradley,1239,TN,3001,0.412862379,47011
Biden,Blount,3168,TN,5406,0.586015538,47009
Sanders,Blount,2238,TN,5406,0.413984462,47009
Biden,Bledsoe,311,TN,413,0.753026634,47007
Sanders,Bledsoe,102,TN,413,0.246973366,47007
Biden,Benton,402,TN,562,0.715302491,47005
Sanders,Benton,160,TN,562,0.284697509,47005
Biden,Bedford,798,TN,1244,0.6414791,47003
Sanders,Bedford,446,TN,1244,0.3585209,47003
Biden,Anderson,2221,TN,3920,0.566581633,47001
Sanders,Anderson,1699,TN,3920,0.433418367,47001
Biden,Zapata,822,TX,1635,0.502752294,48505
Sanders,Zapata,813,TX,1635,0.497247706,48505
Biden,Young,182,TX,263,0.692015209,48503
Sanders,Young,81,TX,263,0.307984791,48503
Biden,Yoakum,33,TX,63,0.523809524,48501
Sanders,Yoakum,30,TX,63,0.476190476,48501
Biden,Wood,751,TX,1007,0.745779543,48499
Sanders,Wood,256,TX,1007,0.254220457,48499
Biden,Wise,641,TX,1127,0.568766637,48497
Sanders,Wise,486,TX,1127,0.431233363,48497
Biden,Winkler,40,TX,57,0.701754386,48495
Sanders,Winkler,17,TX,57,0.298245614,48495
Biden,Wilson,847,TX,1434,0.590655509,48493
Sanders,Wilson,587,TX,1434,0.409344491,48493
Sanders,Williamson,19272,TX,37369,0.515721587,48491
Biden,Williamson,18097,TX,37369,0.484278413,48491
Sanders,Willacy,900,TX,1580,0.569620253,48489
Biden,Willacy,680,TX,1580,0.430379747,48489
Biden,Wilbarger,120,TX,179,0.670391061,48487
Sanders,Wilbarger,59,TX,179,0.329608939,48487
Biden,Wichita,1689,TX,2978,0.567159167,48485
Sanders,Wichita,1289,TX,2978,0.432840833,48485
Biden,Wheeler,31,TX,45,0.688888889,48483
Sanders,Wheeler,14,TX,45,0.311111111,48483
