last name,votes,state,winner,percent_votes,winner_state,fips,county,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Age,Gender,Net Worth,% Donations Under $200,Candidate Committee Money,Outside Money,Twitter Followers,legalize_cannabis,vote_incarcerated,gun_licenses,tax_wealthy_assets,paid_family_leave,job_guarantee,cancel_student_debt,ratify_NA_trade,raise_income_tax,rent_control,lower_debt,TPP,carbon_tax,north_korea_meet,free_college,children_public,ban_fracking,border_crossing_penalties,medicare_for_all,private_insurance,eliminate_electoral_college,eliminate_filibuster
Sanders,86666,MI,0,0.37344122995251516,0,26125,Oakland County,1237868,1202362,3.0,1202362,5.5,22.1,15.1,51.4,76.5,14.5,0.3,6.5,0.0,2.1,3.8,73.3,86.0,11.4,14.0,92.7,43.1,67718,26.1,533047,71.5,22.3,170500,486332,2.47,36458,65594,10.3,38381,644865,3.0,108991,128040,8.3,0.5,4.7,0.0,1.0,28.6,25885162,29825742,18183680,15131,2284814,2458,867.66,1385.7,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,1507,MI,0,0.38473321419453665,0,26123,Newaygo County,47900,48460,-1.2,48460,5.7,23.2,17.9,49.7,95.9,1.3,0.8,0.4,0.0,1.5,5.9,90.6,89.0,2.3,5.2,85.9,12.9,4144,28.7,24910,84.1,4.8,104100,18156,2.61,20623,42571,18.6,785,9561,4.8,2739,4235,0.0,0.0,0.0,0.0,0.0,30.1,560828,71682,355262,7213,32121,46,813.2,59.6,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,8567,MI,0,0.3968408375023161,0,26121,Muskegon County,172344,172188,0.1,172188,6.1,23.8,15.1,50.3,81.1,14.4,1.0,0.7,0.0,2.7,5.3,76.8,83.4,1.9,4.2,88.0,17.2,13255,21.0,73310,74.4,14.3,100900,65008,2.54,20621,40979,19.9,3134,50724,0.3,9498,11233,5.0,0.0,0.7,0.0,1.2,27.3,3675844,0,1656745,9507,220979,181,499.25,344.9,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,243,MI,0,0.29383313180169285,0,26119,Montmorency County,9300,9765,-4.8,9765,3.6,15.2,29.4,49.0,97.4,0.4,0.6,0.2,0.0,1.4,1.3,96.2,89.5,1.0,2.4,84.9,9.9,1323,26.1,9548,85.8,1.7,93700,4128,2.29,19661,35261,18.1,204,1597,9.8,584,854,0.0,0.0,0.0,0.0,0.0,30.1,0,0,70129,6862,7882,0,546.66,17.9,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,2065,MI,0,0.4076999012833169,0,26117,Montcalm County,62893,63342,-0.7,63342,5.6,22.9,16.0,48.5,95.0,2.4,0.6,0.5,0.1,1.5,3.4,92.1,88.0,1.3,3.4,87.4,13.4,4911,30.2,28088,79.2,7.3,95000,23400,2.59,18969,40451,18.6,1004,11850,0.6,3612,4483,0.0,0.0,0.0,0.0,0.0,27.8,388978,124840,563109,8962,45828,67,705.4,89.8,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,5637,MI,0,0.3792384284176534,0,26115,Monroe County,149824,152021,-1.4,152021,5.4,22.4,15.7,50.6,94.8,2.4,0.4,0.7,0.0,1.7,3.4,91.8,89.4,2.0,3.7,89.3,18.0,11417,24.7,63502,79.2,13.1,139100,58702,2.55,25939,53972,12.3,2303,35969,4.2,8193,10419,1.7,0.7,1.3,0.0,0.7,28.9,3502955,0,1465317,9555,171549,239,549.39,276.7,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,345,MI,0,0.35096642929806715,0,26113,Missaukee County,15037,14849,1.3,14849,6.1,23.2,19.1,49.2,96.6,0.5,0.8,0.5,0.0,1.6,2.6,94.6,89.1,1.6,3.3,86.0,13.0,1237,23.1,9068,80.8,3.0,99400,5891,2.5,20305,41061,15.1,289,2101,11.0,1095,1603,0.0,0.0,0.0,0.0,0.0,17.5,0,0,91893,6143,9446,19,564.73,26.3,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,3932,MI,0,0.3842094977525894,0,26111,Midland County,83427,83629,-0.2,83629,5.2,21.9,16.4,50.8,94.2,1.4,0.5,2.4,0.1,1.4,2.5,92.0,85.4,3.8,4.9,92.2,32.3,5991,19.9,36274,75.4,14.7,128600,33717,2.45,29536,53076,13.4,1747,36377,-1.0,4875,6488,0.0,0.0,2.3,0.0,0.0,30.5,2821268,0,869266,10524,108035,262,516.25,162.0,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,620,MI,0,0.31975244971634864,0,26109,Menominee County,23714,24029,-1.3,24029,4.7,19.7,21.6,49.4,94.7,0.6,2.8,0.4,0.0,1.5,1.7,93.4,89.3,1.0,2.7,90.2,14.4,2598,20.2,14154,80.8,9.1,95300,10787,2.18,22331,41739,13.6,458,5318,4.8,1339,1946,0.0,0.0,0.0,0.0,0.0,0.0,418452,0,166886,6914,17217,47,1044.08,23.0,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Sanders,1536,MI,0,0.4326760563380282,0,26107,Mecosta County,43186,42798,0.9,42798,4.8,18.9,16.9,49.9,93.2,3.0,0.7,0.9,0.0,2.2,2.1,91.5,80.3,2.1,4.1,89.8,21.6,3475,22.5,21101,72.9,11.1,112200,15536,2.55,19336,39470,22.9,751,9299,-6.5,2215,3150,0.0,0.0,0.0,0.0,0.0,0.0,668177,0,474988,11352,44055,79,555.07,77.1,78,Male,2000000.0,0.5576,132564706.0,1505287.0,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
