,last name,county,votes,state,winner
978,Warren,Pocahontas,24,IA,0.0
984,Steyer,Pocahontas,0,IA,0.0
963,Biden,Plymouth,225,IA,1.0
962,Sanders,Plymouth,202,IA,0.0
965,Warren,Plymouth,90,IA,0.0
966,Klobuchar,Plymouth,90,IA,0.0
971,Steyer,Plymouth,0,IA,0.0
950,Biden,Palo Alto,167,IA,1.0
949,Sanders,Palo Alto,92,IA,0.0
953,Klobuchar,Palo Alto,75,IA,0.0
952,Warren,Palo Alto,50,IA,0.0
958,Steyer,Palo Alto,0,IA,0.0
936,Sanders,Page,168,IA,1.0
940,Klobuchar,Page,112,IA,0.0
937,Biden,Page,88,IA,0.0
939,Warren,Page,48,IA,0.0
945,Steyer,Page,0,IA,0.0
926,Warren,Osceola,60,IA,1.0
927,Klobuchar,Osceola,60,IA,0.0
923,Sanders,Osceola,50,IA,0.0
924,Biden,Osceola,50,IA,0.0
932,Steyer,Osceola,0,IA,0.0
911,Biden,O Brien,87,IA,1.0
914,Klobuchar,O Brien,80,IA,0.0
910,Sanders,O Brien,65,IA,0.0
913,Warren,O Brien,44,IA,0.0
919,Steyer,O Brien,22,IA,0.0
897,Sanders,Muscatine,867,IA,1.0
898,Biden,Muscatine,417,IA,0.0
900,Warren,Muscatine,383,IA,0.0
901,Klobuchar,Muscatine,183,IA,0.0
906,Steyer,Muscatine,0,IA,0.0
884,Sanders,Montgomery,88,IA,1.0
885,Biden,Montgomery,72,IA,0.0
888,Klobuchar,Montgomery,48,IA,0.0
887,Warren,Montgomery,40,IA,0.0
893,Steyer,Montgomery,8,IA,0.0
872,Biden,Monroe,60,IA,1.0
871,Sanders,Monroe,55,IA,0.0
875,Klobuchar,Monroe,55,IA,0.0
874,Warren,Monroe,32,IA,0.0
880,Steyer,Monroe,5,IA,0.0
861,Warren,Monona,85,IA,1.0
859,Biden,Monona,75,IA,0.0
858,Sanders,Monona,65,IA,0.0
862,Klobuchar,Monona,45,IA,0.0
867,Steyer,Monona,20,IA,0.0
849,Klobuchar,Mitchell,202,IA,1.0
846,Biden,Mitchell,105,IA,0.0
848,Warren,Mitchell,75,IA,0.0
845,Sanders,Mitchell,60,IA,0.0
854,Steyer,Mitchell,0,IA,0.0
832,Sanders,Mills,171,IA,1.0
833,Biden,Mills,124,IA,0.0
835,Warren,Mills,93,IA,0.0
836,Klobuchar,Mills,78,IA,0.0
841,Steyer,Mills,0,IA,0.0
819,Sanders,Marshall,816,IA,1.0
820,Biden,Marshall,512,IA,0.0
822,Warren,Marshall,240,IA,0.0
823,Klobuchar,Marshall,112,IA,0.0
828,Steyer,Marshall,16,IA,0.0
806,Sanders,Marion,342,IA,1.0
810,Klobuchar,Marion,270,IA,0.0
807,Biden,Marion,216,IA,0.0
809,Warren,Marion,180,IA,0.0
815,Steyer,Marion,0,IA,0.0
793,Sanders,Mahaska,208,IA,1.0
796,Warren,Mahaska,128,IA,0.0
794,Biden,Mahaska,112,IA,0.0
797,Klobuchar,Mahaska,64,IA,0.0
802,Steyer,Mahaska,0,IA,0.0
783,Warren,Madison,180,IA,1.0
781,Biden,Madison,168,IA,0.0
784,Klobuchar,Madison,144,IA,0.0
780,Sanders,Madison,120,IA,0.0
789,Steyer,Madison,0,IA,0.0
771,Klobuchar,Lyon,90,IA,1.0
767,Sanders,Lyon,50,IA,0.0
768,Biden,Lyon,50,IA,0.0
770,Warren,Lyon,50,IA,0.0
776,Steyer,Lyon,0,IA,0.0
755,Biden,Lucas,124,IA,1.0
754,Sanders,Lucas,87,IA,0.0
758,Klobuchar,Lucas,51,IA,0.0
757,Warren,Lucas,36,IA,0.0
763,Steyer,Lucas,15,IA,0.0
741,Sanders,Louisa,120,IA,1.0
742,Biden,Louisa,100,IA,0.0
744,Warren,Louisa,100,IA,0.0
745,Klobuchar,Louisa,40,IA,0.0
750,Steyer,Louisa,0,IA,0.0
728,Sanders,Linn,5362,IA,1.0
731,Warren,Linn,3956,IA,0.0
729,Biden,Linn,2901,IA,0.0
732,Klobuchar,Linn,1978,IA,0.0
737,Steyer,Linn,0,IA,0.0
716,Biden,Lee,532,IA,1.0
715,Sanders,Lee,434,IA,0.0
718,Warren,Lee,224,IA,0.0
719,Klobuchar,Lee,98,IA,0.0
724,Steyer,Lee,0,IA,0.0
703,Biden,Kossuth,213,IA,1.0
706,Klobuchar,Kossuth,160,IA,0.0
702,Sanders,Kossuth,62,IA,0.0
705,Warren,Kossuth,36,IA,0.0
711,Steyer,Kossuth,9,IA,0.0
689,Sanders,Keokuk,91,IA,1.0
692,Warren,Keokuk,69,IA,0.0
690,Biden,Keokuk,57,IA,0.0
693,Klobuchar,Keokuk,46,IA,0.0
698,Steyer,Keokuk,0,IA,0.0
676,Sanders,Jones,256,IA,1.0
677,Biden,Jones,256,IA,0.0
680,Klobuchar,Jones,208,IA,0.0
679,Warren,Jones,112,IA,0.0
685,Steyer,Jones,0,IA,0.0
666,Warren,Johnson,5306,IA,1.0
663,Sanders,Johnson,5265,IA,0.0
667,Klobuchar,Johnson,1701,IA,0.0
664,Biden,Johnson,526,IA,0.0
672,Steyer,Johnson,0,IA,0.0
650,Sanders,Jefferson,589,IA,1.0
653,Warren,Jefferson,327,IA,0.0
651,Biden,Jefferson,65,IA,0.0
654,Klobuchar,Jefferson,44,IA,0.0
659,Steyer,Jefferson,0,IA,0.0
637,Sanders,Jasper,506,IA,1.0
638,Biden,Jasper,460,IA,0.0
640,Warren,Jasper,334,IA,0.0
641,Klobuchar,Jasper,150,IA,0.0
646,Steyer,Jasper,23,IA,0.0
625,Biden,Jackson,309,IA,1.0
628,Klobuchar,Jackson,189,IA,0.0
627,Warren,Jackson,154,IA,0.0
624,Sanders,Jackson,137,IA,0.0
633,Steyer,Jackson,17,IA,0.0
614,Warren,Iowa,260,IA,1.0
611,Sanders,Iowa,240,IA,0.0
612,Biden,Iowa,200,IA,0.0
615,Klobuchar,Iowa,40,IA,0.0
620,Steyer,Iowa,0,IA,0.0
599,Biden,Ida,90,IA,1.0
598,Sanders,Ida,45,IA,0.0
602,Klobuchar,Ida,45,IA,0.0
601,Warren,Ida,0,IA,0.0
607,Steyer,Ida,0,IA,0.0
586,Biden,Humboldt,124,IA,1.0
589,Klobuchar,Humboldt,80,IA,0.0
585,Sanders,Humboldt,36,IA,0.0
588,Warren,Humboldt,36,IA,0.0
594,Steyer,Humboldt,0,IA,0.0
573,Biden,Howard,100,IA,1.0
572,Sanders,Howard,86,IA,0.0
576,Klobuchar,Howard,71,IA,0.0
575,Warren,Howard,29,IA,0.0
581,Steyer,Howard,14,IA,0.0
559,Sanders,Henry,233,IA,1.0
560,Biden,Henry,167,IA,0.0
562,Warren,Henry,120,IA,0.0
563,Klobuchar,Henry,73,IA,0.0
568,Steyer,Henry,0,IA,0.0
546,Sanders,Harrison,196,IA,1.0
547,Biden,Harrison,140,IA,0.0
549,Warren,Harrison,93,IA,0.0
550,Klobuchar,Harrison,93,IA,0.0
555,Steyer,Harrison,0,IA,0.0
537,Klobuchar,Hardin,187,IA,1.0
534,Biden,Hardin,158,IA,0.0
536,Warren,Hardin,151,IA,0.0
533,Sanders,Hardin,137,IA,0.0
542,Steyer,Hardin,0,IA,0.0
524,Klobuchar,Hancock,120,IA,1.0
520,Sanders,Hancock,90,IA,0.0
521,Biden,Hancock,80,IA,0.0
523,Warren,Hancock,40,IA,0.0
529,Steyer,Hancock,0,IA,0.0
508,Biden,Hamilton,190,IA,1.0
510,Warren,Hamilton,170,IA,0.0
507,Sanders,Hamilton,150,IA,0.0
511,Klobuchar,Hamilton,120,IA,0.0
516,Steyer,Hamilton,0,IA,0.0
498,Klobuchar,Guthrie,154,IA,1.0
497,Warren,Guthrie,120,IA,0.0
495,Biden,Guthrie,69,IA,0.0
494,Sanders,Guthrie,60,IA,0.0
503,Steyer,Guthrie,0,IA,0.0
481,Sanders,Grundy,130,IA,1.0
482,Biden,Grundy,120,IA,0.0
485,Klobuchar,Grundy,120,IA,0.0
484,Warren,Grundy,40,IA,0.0
490,Steyer,Grundy,0,IA,0.0
468,Sanders,Greene,180,IA,1.0
472,Klobuchar,Greene,120,IA,0.0
469,Biden,Greene,72,IA,0.0
471,Warren,Greene,12,IA,0.0
